商品代码,描述,行业,板块,指数,注册国家或地区,Country of highest income,IPO发行日期,交易所,"最近一个财务期, 目前","财务期结束日期, 目前",最近收益日期,自由浮动,已发行普通股总数,"股东人数, 年度"
NVDA,NVIDIA Corporation,半导体,电子科技,"S&P 500, NASDAQ 100, 道琼斯工业平均指数, NASDAQ COMPOSITE, PHLX SEMICONDUCTOR, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 100, Nasdaq US Large Cap Growth, US SMALL CAP 3000, 道琼斯综合平均指数, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX, NASDAQ CB Insights Metaverse US",美国,United States,1999-01-22,NASDAQ,2025-Q3,2025-10-31,2025-11-19,23355045900,24300000000,842
TSLA,"Tesla, Inc.",机动车,耐用消费品,"S&P 500, NASDAQ 100, NASDAQ COMPOSITE, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 500非必需消费品指数, S&P 100, Nasdaq US Large Cap Growth, US SMALL CAP 3000, US SMALL CAP 1000, NASDAQ INDUSTRIAL, NASDAQ Clean Edge Green Energy",美国,United States,2010-06-29,NASDAQ,2025-Q4,2025-12-31,2026-01-28,2388813450.66,3325820000,9797
MSFT,Microsoft Corporation,套装软件,科技服务,"S&P 500, NASDAQ 100, 道琼斯工业平均指数, NASDAQ COMPOSITE, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, US SMALL CAP 3000, 道琼斯综合平均指数, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX, NASDAQ CB Insights Metaverse US",美国,United States,1986-03-13,NASDAQ,2026-Q2,2025-12-31,2026-01-28,7316309875.14,7425630000,77014
MU,"Micron Technology, Inc.",半导体,电子科技,"S&P 500, NASDAQ 100, NASDAQ COMPOSITE, PHLX SEMICONDUCTOR, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 200, STOXX Developed Markets 2400, STOXX USA 500, US SMALL CAP 3000, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX",美国,United States,1984-06-01,NASDAQ,2026-Q1,2025-11-30,2025-12-17,1122497009.73,1125510000,1443
META,"Meta Platforms, Inc.",互联网软件/服务,科技服务,"S&P 500, NASDAQ 100, NASDAQ COMPOSITE, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 500通信服务指数, S&P 100, Nasdaq US Large Cap Growth, US SMALL CAP 3000, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX, NASDAQ CB Insights Metaverse US",美国,United States,2012-05-17,NASDAQ,2025-Q4,2025-12-31,2026-01-28,2184876899.46,2187180000,2558
AAPL,Apple Inc.,电信设备,电子科技,"S&P 500, NASDAQ 100, 道琼斯工业平均指数, NASDAQ COMPOSITE, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 100, US SMALL CAP 3000, 道琼斯综合平均指数, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX, NASDAQ CB Insights Metaverse US",美国,United States,1980-12-12,NASDAQ,2026-Q1,2025-12-31,2026-01-29,14682584788.2,14697900000,22429
SNDK,Sandisk Corporation,计算机外围设备,电子科技,"S&P 500, NASDAQ COMPOSITE, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Developed Markets 2400, STOXX USA 500, US SMALL CAP 3000, US SMALL CAP 1000, NASDAQ COMPUTER",美国,China,,NASDAQ,2026-Q2,2025-12-31,2026-01-29,138041224.75241998,146553180,685
GOOGL,Alphabet Inc.,互联网软件/服务,科技服务,"S&P 500, NASDAQ 100, NASDAQ COMPOSITE, S&P 500通信服务指数, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, US SMALL CAP 3000, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX, NASDAQ CB Insights Metaverse US",美国,United States,2004-08-19,NASDAQ,2025-Q3,2025-09-30,2025-10-29,5801383792,5818000000,9471
AMD,"Advanced Micro Devices, Inc.",半导体,电子科技,"S&P 500, NASDAQ 100, NASDAQ COMPOSITE, PHLX SEMICONDUCTOR, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 2400, STOXX USA 500, S&P 100, Nasdaq US Large Cap Growth, US SMALL CAP 3000, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, NASDAQ CB Insights Metaverse US",美国,United States,1979-10-15,NASDAQ,2025-Q3,2025-09-30,2025-11-04,1620072372.24,1628040000,5028
AMZN,"Amazon.com, Inc.",互联网零售,零售行业,"S&P 500, NASDAQ 100, 道琼斯工业平均指数, NASDAQ COMPOSITE, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 500非必需消费品指数, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, US SMALL CAP 3000, US SMALL CAP 1000, NASDAQ INDUSTRIAL, NASDAQ CB Insights Metaverse US",美国,United States,1997-05-15,NASDAQ,2025-Q3,2025-09-30,2025-10-30,9685203607.8,10690200000,12135
