商品代码,描述,行业,板块,指数,注册国家或地区,收入最高的国家/地区,IPO发行日期,交易所,"最近一个财务期, 目前","财务期结束日期, 目前",最近收益日期,自由浮动,已发行普通股总数,"股东人数, 年度",价格 * 平均交易量 90天,价格 * 平均交易量 90天 - 货币
TSLA,"Tesla, Inc.",机动车,耐用消费品,"S&P 500, NASDAQ 100, NASDAQ COMPOSITE, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 500非必需消费品指数, S&P 100, Nasdaq US Large Cap Growth, US SMALL CAP 3000, US SMALL CAP 1000, NASDAQ INDUSTRIAL, NASDAQ Clean Edge Green Energy",美国,United States,2010-06-29,NASDAQ,2025-Q4,2025-12-31,2026-01-28,2388820102.3,3325820000,9797,33757801794.094883,USD
NVDA,NVIDIA Corporation,半导体,电子科技,"S&P 500, NASDAQ 100, 道琼斯工业平均指数, NASDAQ COMPOSITE, PHLX SEMICONDUCTOR, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 100, Nasdaq US Large Cap Growth, US SMALL CAP 3000, 道琼斯综合平均指数, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX, NASDAQ CB Insights Metaverse US",美国,United States,1999-01-22,NASDAQ,2025-Q3,2025-10-31,2025-11-19,23355799200,24300000000,842,33632109168.56069,USD
MSFT,Microsoft Corporation,套装软件,科技服务,"S&P 500, NASDAQ 100, 道琼斯工业平均指数, NASDAQ COMPOSITE, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, US SMALL CAP 3000, 道琼斯综合平均指数, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX, NASDAQ CB Insights Metaverse US",美国,United States,1986-03-13,NASDAQ,2026-Q2,2025-12-31,2026-01-28,7316339577.66,7425630000,77014,13007800457.545443,USD
AAPL,Apple Inc.,电信设备,电子科技,"S&P 500, NASDAQ 100, 道琼斯工业平均指数, NASDAQ COMPOSITE, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 100, US SMALL CAP 3000, 道琼斯综合平均指数, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX, NASDAQ CB Insights Metaverse US",美国,United States,1980-12-12,NASDAQ,2026-Q1,2025-12-31,2026-01-29,14665919742.599998,14681100000,22429,12734260016.889666,USD
META,Meta Platforms Inc Class A,互联网软件/服务,科技服务,"S&P 500, NASDAQ 100, NASDAQ COMPOSITE, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 500通信服务指数, S&P 100, Nasdaq US Large Cap Growth, US SMALL CAP 3000, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX, NASDAQ CB Insights Metaverse US",美国,United States,2012-05-17,NASDAQ,2025-Q4,2025-12-31,2026-01-28,2184995007.18,2187180000,2558,11839434263.377277,USD
AMD,"Advanced Micro Devices, Inc.",半导体,电子科技,"S&P 500, NASDAQ 100, NASDAQ COMPOSITE, PHLX SEMICONDUCTOR, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 2400, STOXX USA 500, S&P 100, Nasdaq US Large Cap Growth, US SMALL CAP 3000, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, NASDAQ CB Insights Metaverse US",美国,United States,1979-10-15,NASDAQ,2025-Q4,2025-12-31,2026-02-03,1622934570.1499999,1630410000,5094,11345947222.948332,USD
AMZN,"Amazon.com, Inc.",互联网零售,零售行业,"S&P 500, NASDAQ 100, 道琼斯工业平均指数, NASDAQ COMPOSITE, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 500非必需消费品指数, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, US SMALL CAP 3000, US SMALL CAP 1000, NASDAQ INDUSTRIAL, NASDAQ CB Insights Metaverse US",美国,United States,1997-05-15,NASDAQ,2025-Q4,2025-12-31,2026-02-05,9726034098,10734900000,12165,10893852306.936552,USD
GOOGL,Alphabet Inc. Class A,互联网软件/服务,科技服务,"S&P 500, NASDAQ 100, NASDAQ COMPOSITE, S&P 500通信服务指数, S&P 100, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, US SMALL CAP 3000, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX, NASDAQ CB Insights Metaverse US",美国,United States,2004-08-19,NASDAQ,2025-Q4,2025-12-31,2026-02-04,5805023048,5822000000,7529,10769302173.876444,USD
AVGO,Broadcom Inc.,半导体,电子科技,"S&P 500, NASDAQ 100, NASDAQ COMPOSITE, PHLX SEMICONDUCTOR, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500, S&P 100, Nasdaq US Large Cap Growth, US SMALL CAP 3000, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, NASDAQ CB Insights Metaverse US",美国,United States,2009-08-06,NASDAQ,2025-Q4,2025-10-31,2025-12-11,4649934174.719999,4741270000,2061,9759364131.037891,USD
MU,"Micron Technology, Inc.",半导体,电子科技,"S&P 500, NASDAQ 100, NASDAQ COMPOSITE, PHLX SEMICONDUCTOR, S&P 500信息技术指数, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 200, STOXX Developed Markets 2400, STOXX USA 500, US SMALL CAP 3000, NASDAQ 100 TECHNOLOGY SECTOR, US SMALL CAP 1000, NASDAQ COMPUTER, S&P 500 ESG INDEX",美国,United States,1984-06-01,NASDAQ,2026-Q1,2025-11-30,2025-12-17,1122524021.97,1125510000,1443,8485166365.461442,USD
